Game,_Random,_Human,_DQN,_PRIOR. Duel,C51,QR-DQN-0,QR-DQN-1
Alien,227.8,7127.7,1620,3941,3166,9983,4871
Amidar,5.8,1719.5,978,2296.8,1735,2726,1641
Assault,222.4,742,4280.4,11477,7203,19961,22012
Asterix,210,8503.3,4359,375080,406211,454461,261025
Asteroids,719.1,47388.7,1364.5,1192.7,1516,2335,4226
Atlantis,12850,29028.1,279987,395762,841075,1046625,971850
BankHeist,14.2,753.1,455,1503.1,976,1245,1249
BattleZone,2360,37187.5,29900,35520,28742,35580,39268
BeamRider,363.9,16926.5,8627.5,30276.5,14074,24919,34821
Berzerk,123.7,2630.4,585.6,3409,1645,34798,3117
Bowling,23.1,160.7,50.4,46.7,81.8,85.3,77.2
Boxing,0.1,12.1,88,98.9,97.8,99.8,99.9
Breakout,1.7,30.5,385.5,366,748,766,742
Centipede,2090.9,12017,4657.7,7687.5,9646,9163,12447
ChopperCommand,811,7387.8,6126,13185,15600,7138,14667
CrazyClimber,10780.5,35829.4,110763,162224,179877,181233,161196
Defender,2874.5,18688.9,23633,41324.5,47092,42120,47887
DemonAttack,152.1,1971,12149.4,72878.6,130955,117577,121551
DoubleDunk,-18.6,-16.4,-6.6,-12.5,2.5,12.3,21.9
Enduro,0,860.5,729,2306.4,3454,2357,2355
FishingDerby,-91.7,-38.7,-4.9,41.3,8.9,37.4,39
Freeway,0,29.6,30.8,33,33.9,34,34
Frostbite,65.2,4334.7,797.4,7413,3965,4839,4384
Gopher,257.6,2412.5,8777.4,104368.2,33641,118050,113585
Gravitar,173,3351.4,473,238,440,546,995
H.E.R.O.,1027,30826.4,20437.8,21036.5,38874,21785,21395
IceHockey,-11.2,0.9,-1.9,-0.4,-3.5,-3.6,-1.7
JamesBond,29,302.8,768.5,812,1909,1028,4703
Kangaroo,52,3035,7259,1792,12853,14780,15356
Krull,1598,2665.5,8422.3,10374.4,9735,11139,11447
KungFuMaster,258.5,22736.3,26059,48375,48192,71514,76642
MontezumaRevenge,0,4753.3,0,0,0,75,0
MsPacMan,307.3,6951.6,3085.6,3327.3,3415,5822,5821
NameThisGame,2292.3,8049,8207.8,15572.5,12542,17557,21890
Phoenix,761.4,7242.6,8485.2,70324.3,17490,65767,16585
Pitfall!,-229.4,6463.7,-286.1,0,0,0,0
Pong,-20.7,14.6,19.5,20.9,20.9,21,21
PrivateEye,24.9,69571.3,146.7,206,15095,146,350
Q*Bert,163.9,13455,13117.3,18760.3,23784,26646,572510
RiverRaid,1338.5,17118,7377.6,20607.6,17322,9336,17571
RoadRunner,11.5,7845,39544,62151,55839,67780,64262
Robotank,2.2,11.9,63.9,27.5,52.3,61.1,59.4
Seaquest,68.4,42054.7,5860.6,931.6,266434,2680,8268
Skiing,-17098.1,-4336.9,-13062.3,-19949.9,-13901,-9163,-9324
Solaris,1236.3,12326.7,3482.8,133.4,8342,2522,6740
SpaceInvaders,148,1668.7,1692.3,15311.5,5747,21039,20972
StarGunner,664,10250,54282,125117,49095,70055,77495
Surround,-10,6.5,-5.6,1.2,6.8,9.7,8.2
Tennis,-23.8,-8.3,12.2,0,23.1,23.7,23.6
TimePilot,3568,5229.2,4870,7553,8329,9344,10345
Tutankham,11.4,167.6,68.1,245.9,280,312,297
UpAndDown,533.4,11693.2,9989.9,33879.1,15612,53585,71260
Venture,0,1187.5,163,48,1520,0,43.9
VideoPinball,16256.9,17667.9,196760.4,479197,949604,701779,705662
WizardOfWor,563.5,4756.5,2704,12352,9300,26844,25061
YarsRevenge,3092.9,54576.9,18098.9,69618.1,35050,32605,26447
Zaxxon,32.5,9173.3,5363,13886,10513,7200,13112
