Game,FirstReturn
Alien,959312
Amidar,19083
Assault,30773
Asterix,999500
Asteroids,112952
Atlantis,286460
BankHeist,3668
BattleZone,998800
BeamRider,371723
Berzerk,131417
Bowling,247
Boxing,91
Breakout,774
Centipede,613815
chopper command,996220
crazy climber,235600
demon attack,239895
double dunk,24
Enduro,1031
fishing derby,67
Freeway,34
Frostbite,999990
Gopher,134244
Gravitar,13385
Hero,37783
ice hockey,33
James bond,200810
Kangaroo,24300
Krull,63149
KungFuMaster,24320
MontezumaRevenge,24758
ms pacman,456123
name this game,212824
Phoenix,19200
Pitfall,7875
Pong,21
PrivateEye,69976
Qbert,999975
Riverraid,35588
road runner,999900
Robotank,143
Seaquest,539456
Skiing,-4185
Solaris,20306
SpaceInvaders,93147
StarGunner,609580
Tennis,24
TimePilot,183620
Tutankham,528
up n down,553718
Venture,3074
video pinball,999999
WizardOfWor,199900
YarsRevenge,999998
Zaxxon,18340
