Game,H-NEAT Object,H-NEAT Pixel,H-NEAT Noise,NEAT Object,NEAT Noise,CNE Object,CNE Noise,CMA-ES Object,_Random,_SARSA (neat),Planning,_Human
airraid,4335,7415,2380,4945,3450,4180,3075,4615,548.3,-,-,-
alien,2246,1586,764,4320,1842,1988,1960,2730,116.7,939.2,7785,-
amidar,218.8,184.4,124,325.2,187.2,161.8,195,467.4,0.9,103.4,180.3,5342
assault,2396,912.6,764.4,2717.2,799,1276.8,693,2219.4,366.1,628,1512.2,-
asterix,2550,2340,1410,1490,1240,1310,1300,2970,315,987.3,290700,-
asteroids,220,1694,5316,4144,7204,4800,6940,3734,1394.3,907.3,4660.6,663000
atlantis,44200,61260,78640,126260,103120,96080,86000,81960,32063.3,62687,193858,372400
bank heist,1308,214,68,380,106,372,110,354,17.3,190.8,497.8,-
battle zone,37600,36200,48600,45000,41800,30600,20000,51600,2000,15819.7,70333.3,238000
beam rider,1443.2,1412.8,1360.8,1900,1437.6,1494.4,1380,1736.8,414.7,929.4,6624.6,23020
berzerk,1358,1394,1296,1202,1536,988,1560,1044,171.7,501.3,670,104450
bowling,250.4,135.8,101.4,231.6,170.6,223,147,168.6,23.8,43.9,43.9,237
boxing,91.6,16.4,33.8,92.8,60.8,45.2,57,71.8,-2.2,44,100,-
breakout,40.8,2.8,2.4,43.6,5,17.2,4,23.2,0.8,5.2,364.4,825
carnival,3532,2544,3048,4920,4338,5514,3880,3064,915.3,2323.9,5132,824580
centipede,33326.6,25275.2,20309.8,22469.6,24831.6,22866,21849,27293,2711.3,8803.8,125123,163278
choppercommand,8120,3960,2680,4580,3360,5960,3500,13360,836.7,1581.5,34018.8,201600
crazyclimber,12840,0,11680,25060,23560,25320,21400,19980,2506.7,23410.6,98172.2,-
defender,15080,14620,22830,16250,36300,16410,35250,12230,4370,-,-,550000
demonattack,3082,3590,2967,3464,2707,3377,3065,2834,354.7,520.5,28158.8,92420
doubledunk,4,2,0,10.8,10.8,12.4,10,2.4,-16,-13.1,24,-
elevatoraction,21600,0,800,,31120,32460,30300,23320,4026.7,3200.6,18100,-
enduro,112.8,93.6,90.6,133.8,99.4,27.4,35,94.4,0,129.1,286.3,3159.2
fishing,-37,-48.8,-72.6,-43.8,-47.4,-46.6,-51,-45.4,-93.5,-89.5,37.8,-
freeway,29.6,29,28,30.8,30,26.4,29,32,0,19.1,22.5,34
frostbite,2226,2260,270,1452,338,362,320,3786,66.7,216.9,270.5,416560
gopher,6252,364,1260,6092,2600,2588,2440,10428,213.3,1288.3,20560,-
gravitar,1990,370,710,2840,2530,2390,2300,2010,170,387.7,2850,8000
hero,3638,5090,1858,3894,5729,5067,5775,3546,834.5,6458.8,12859.5,159900
icehockey,9,10.6,7.4,3.8,3,2.2,2,3.8,-9.9,-9.5,39.4,-
jamesbond,12730,5660,2060,2380,6900,410,250,1770,18.3,202.8,330,-
journey escape,20760,17100,11460,21840,18600,19100,18300,14660,-20026.7,-8713.5,7683.3,-
kangaroo,4880,800,720,12800,1280,1160,1400,8840,53.3,1622.1,1990,29700
krull,23890.2,12601.4,10005.4,20337.8,6864.2,6101.8,5688,25908.8,1780.3,3371.5,5037,-
kungfumaster,47820,7720,20580,87340,57820,83080,54900,78960,553.3,19544,48854.5,65130
montezuma,0,0,0,340,60,340,100,340,3.3,10.7,10.7,70500
mspacman,3830,3408,2378,4902,3916,4112,3980,3728,167.7,1691.8,22336,211480
namethisgame,8346,6742,4570,7084,5452,6396,5210,6820,1806,2500.1,15410,-
phoenix,5860,1762,4898,7832,6290,9178,7960,5472,1173.7,-,-,365240
pitfall,0,0,0,0,0,0,0,0,-383.3,-,-,109858
pong,4,-17.4,-19.6,15.2,-16,-10,-16,-7.4,-20.7,-19,21,-
pooyan,2900,1222,2566,2761,2782,2883,2670,2210,505.2,1225.3,17763.4,-
privateeye,15045.2,10747.4,10692.6,1926.4,14412.8,9750.4,14385,880,-690.3,684.3,1947.3,-
qbert,810,695,795,1935,1275,2165,1200,1675,222.5,613.5,17343.4,119300
riverraid,4736,2616,2136,4718,3116,4120,3000,3760,1524.7,1904.3,4449,135830
roadrunner,14420,3220,2900,9600,7440,5140,7000,11320,43.3,67.7,38725,-
robotank,42.4,43.8,37.8,18,35.6,15,33,14.4,1.6,28.7,50.4,-
seaquest,2508,716,760,944,860,800,840,880,114,664.8,5132.4,205210
skiing,-9127.2,-7983.6,-8836,-6984,-9071.2,-8452.4,-9612,-7361.2,-18196.9,-,-,-
solaris,0,160,11020,14764,16760,14768,16120,11740,2048,-,-,49640
spaceinvaders,1481,1251,809,1481,1138,1246,945,1428,157.2,250.1,2718,42905
stargunner,4160,2720,1260,9580,6740,11300,5900,9260,683.3,1069.5,1345,-
tennis,0.2,0,0,1.2,0.6,1.4,0,-1,-24,-0.1,2.8,-
timepilot,15640,7340,10020,14320,14600,13060,12800,10180,3660,3741.2,63854.5,-
tutankham,110,23.6,20.4,142.4,126,163.4,139,126,24.3,114.3,225.5,-
upndown,6818,43734,11632,10220,9050,6466,7790,8404,140.3,3532.7,74473.6,-
venture,400,0,0,340,200,160,200,0,0,66,66,-
videopinball,82646,0,72326.4,253986,426194.4,335109,419666,234699.8,14130,150046.8,254748,56851
wizardofwor,3760,3360,6660,17700,14260,10720,15900,7600,1050,1981.3,105500,47100
yarsrevenge,24405.4,24096.4,29921,32836.4,48288.6,21472.2,44085,27328,3252.2,-,-,965347
zaxxon,4680,3000,600,6460,3600,6260,3000,6420,0,3365.1,22610,44100
