Game,R2D2(Retrace),NGU (32-0),NGU (32-0.3)
alien,189.1k,248.1k,225.5k
asteroids,338.5k,230.5k,181.6k
time,446.8k,344.7k,336.1k
tutankham,452.2,191.1,125.7
up,678.8k,620.1k,575.2k
venture,2.0k,1.7k,779.9
video,948.6k,965.3k,596.7k
wizard,120.2k,106.2k,85.1k
atlantis,1654.9k,1653.6k,1638.0k
yars,990.4k,986.0k,993.8k
zaxxon,94.8k,111.1k,190.1k
bank,15.0k,17.4k,1.4k
battle,733.1k,691.7k,571.5k
beam,103.9k,63.6k,31.9k
berzerk,69.3k,36.2k,27.3k
bowling,253,211.9,161.8
boxing,100,99.7,3.8
breakout,839.7,559.2,387.6
centipede,700.2k,577.8k,574.6k
chopper,999.9k,999.9k,974.1k
amidar,28.2k,17.8k,8.5k
crazy,294.2k,313.4k,357.0k
defender,675.6k,664.1k,656.3k
demon,143.9k,143.5k,136.6k
double,24,-14.1,-21.5
enduro,2.4k,2.0k,682.5
fishing,86.8,32,-29.3
freeway,33.2,28.5,21.2
frostbite,10.5k,206.4k,67.9k
gopher,117.8k,113.4k,86.6k
gravitar,12.9k,14.2k,13.2k
assault,36.7k,34.8k,1.9k
hero,54.5k,69.4k,64.2k
ice,85.1,-4.1,-0.5
jamesbond,30.8k,26.6k,22.4k
kangaroo,14.7k,35.1k,16.9k
krull,131.1k,127.4k,26.7k
kung,220.7k,212.1k,203.2k
montezuma,2.3k,10.4k,16.8k
ms,40.3k,40.8k,38.1k
name,70.6k,23.9k,15.6k
phoenix,935.2k,959.1k,933.3k
asterix,994.3k,950.7k,953.1k
pitfall,-5.2,7.8k,1.3k
pong,20.9,19.6,-9.7
private,31.5k,100.0k,65.6k
qbert,398.6k,451.9k,449.0k
riverraid,38.9k,36.7k,42.6k
road,105.2k,128.6k,103.9k
robotank,142.4,9.1,24.9
seaquest,1000.0k,1000.0k,1000.0k
skiing,-11081.7,-22977.9,-21907.4
solaris,5.6k,4.7k,1.3k
space,33.4k,43.4k,12.0k
star,412.8k,414.6k,452.5k
surround,9.8,-9.6,-7.3
tennis,24,10.2,-3.5
