Game,Reactor ND,Reactor
ALIEN,4199.4,6482.1
AMIDAR,1546.8,833
ASSAULT,17543.8,11013.5
ASTERIX,16121,36238.5
ASTEROIDS,4467.4,2780.4
ATLANTIS,968179.5,308258
BANK HEIST,1236.8,988.7
battle zone,98235,61220
BEAM RIDER,8811.8,8566.5
BERZERK,1515.7,1641.4
BOWLING,59.3,75.4
BOXING,99.7,99.4
BREAKOUT,509.5,518.4
CENTIPEDE,7267.2,3402.8
CHOPPER COMMAND,19901.5,37568
CRAZY CLIMBER,173274,194347
DEFENDER,181074.3,113128
DEMON ATTACK,122782.5,100189
DOUBLE DUNK,23,11.4
ENDURO,2211.3,2230.1
FISHING DERBY,33.1,23.2
FREEWAY,22.3,31.4
FROSTBITE,7136.7,8042.1
GOPHER,36279.1,69135.1
GRAVITAR,1804.8,1073.8
hero,27833,35542.2
ICE HOCKEY,15.7,3.4
james bond,14524,7869.2
KANGAROO,13349,10484.5
KRULL,10237.8,9930.8
kung fu master,61621.5,59799.5
montezuma revenge,0,2643.5
ms pacman,4416.9,2724.3
NAME THIS GAME,12636.5,9907.2
PHOENIX,10261.4,40092.2
pitfall,-3.7,-3.5
PONG,20.7,20.7
PRIVATE EYE,15198,15177.1
qbert,21222.5,22956.5
riverraid,16957.3,16608.3
ROAD RUNNER,66790.5,71168
ROBOTANK,71.8,68.5
SEAQUEST,5071.6,8425.8
SKIING,-10632.9,-10753.4
SOLARIS,2236,2760
SPACE INVADERS,2387.1,2448.6
star gunner,48942,70038
SURROUND,0.9,6.7
TENNIS,23.4,23.3
TIME PILOT,18871.5,19401
TUTANKHAM,263.2,272.6
up n down,194989.5,64354.2
VENTURE,0,1597.5
VIDEO PINBALL,261720.2,469366
WIZARD OF WOR,18484,13170.5
yars revenge,109607.5,102760
ZAXXON,16525,25215.5
