Game,Adam Huber,Adam MSE,RMSProp Huber,RMSProp MSE
AirRaid,9400,8900,7600,6750
Alien,4200,3400,2600,1100
Amidar,1150,900,1000,570
Assault,1800,2200,1500,1050
Asterix,10500,16400,3700,900
Asteroids,1200,1000,750,400
Atlantis,777000,840000,870000,24000
BankHeist,700,700,620,350
BattleZone,27000,27000,17500,17500
BeamRider,5800,5800,5000,4200
Berzerk,600,800,600,300
Bowling,35,35,33,30
Boxing,96,96,75,18
Breakout,210,200,100,40
Carnival,5500,5100,5000,3000
Centipede,2400,2000,2000,3300
ChopperCommand,1350,1350,1100,1000
CrazyClimber,123000,112000,105000,32000
DemonAttack,8000,8000,4200,700
DoubleDunk,12.5,4,-10,-12.5
ElevatorAction,25000,50000,0,8000
Enduro,1200,1750,600,200
FishingDerby,24,18,-6,-90
Freeway,27,27,6,12.5
Frostbite,3400,4200,1500,100
Gopher,8500,1100,6000,500
Gravitar,900,900,200,400
Hero,22500,22500,16000,12500
IceHockey,-4,-4,-8,-10
Jamesbond,900,900,550,550
JourneyEscape,-1000,-1000,-3000,-12000
Kangaroo,10000,10000,12000,4500
Krull,7500,7500,6000,3000
KungFuMaster,21000,21000,17500,10000
MontezumaRevenge,0,0,0,0
MsPacman,4000,3500,3000,1000
NameThisGame,8500,7000,7000,2000
Phoenix,14000,12000,5000,2000
Pitfall,0,-200,0,0
Pong,20,20,16,15
Pooyan,3750,4000,3250,1750
PrivateEye,250,250,500,250
Qbert,12000,10000,9000,0
Riverraid,15000,12000,11000,4000
RoadRunner,45000,45000,35000,10000
Robotank,65,65,55,55
Seaquest,10000,4000,1500,1500
Skiing,-16000,-17500,-16000,-27500
Solaris,1400,1200,1400,1400
StarGunner,55000,50000,45000,0
Tennis,5,20,-5,-10
TimePilot,8500,8500,3500,4000
Tutankham,150,175,100,75
UpNDown,12000,10000,7000,1000
Venture,1300,1300,300,0
VideoPinball,200000,250000,25000,25000
WizardOfWor,5000,5000,2500,1500
YarsRevenge,30000,45000,20000,20000
Zaxxon,10000,10000,4000,4000
