Game,SimPLe,PPO_100k,PPO_500k,PPO_1m,Rainbow_100k,Rainbow_500k,Rainbow_1m
Alien,616.9,291,269,362,290.6,828.6,945
Amidar,74.3,56.5,93.2,123.8,20.8,194,275.8
Assault,527.2,424.2,552.3,1134.4,300.3,1041.5,1581.8
Asterix,1128.3,385,1085,2185,285.7,1702.7,2151.6
Asteroids,793.6,1134,1053,1251,912.3,895.9,1071.5
Atlantis,20992.5,34316.7,4836416.7,-,17881.8,79541,848800
BankHeist,34.2,16,641,856,34.5,727.3,1053.3
BattleZone,4031.2,5300,14400,19000,3363.5,19507.1,22391.4
BeamRider,621.6,563.6,497.6,684,365.6,5890,6945.3
Bowling,30,17.7,28.5,35.8,24.7,31,30.6
Boxing,7.8,-3.9,3.5,19.6,0.9,58.2,80.3
Breakout,16.4,5.9,66.1,128,3.3,26.7,38.7
ChopperCommand,979.4,730,860,970,776.6,1765.2,2474
CrazyClimber,62583.6,18400,33420,58000,12558.3,75655.1,97088.1
DemonAttack,208.1,192.5,216.5,241,431.6,3642.1,5478.6
FishingDerby,-90.7,-95.6,-87.2,-88.8,-91.1,-66.7,-23.2
Freeway,16.7,8,14,20.8,0.1,12.6,13
Frostbite,236.9,174,214,229,140.1,1386.1,2972.3
Gopher,596.8,246,560,696,748.3,1640.5,1905
Gravitar,173.4,235,235,325,231.4,214.9,260
Hero,2656.6,569,1824,3719,2676.3,10664.3,13295.5
IceHockey,-11.6,-10,-6.6,-5.3,-9.5,-9.7,-6.5
Jamesbond,100.5,65,255,310,61.7,429.7,692.6
Kangaroo,51.2,140,340,840,38.7,970.9,4084.6
Krull,2204.8,3750.4,3056.1,5061.8,2978.8,4139.4,4971.1
KungFuMaster,14862.5,4820,17370,13780,1019.4,19346.1,21258.6
MsPacman,1480,496,306,594,364.3,1558,1881.4
NameThisGame,2420.7,2225,2106,2311,2368.2,4886.5,4454.2
Pong,12.8,-20.5,-8.6,14.7,-19.5,19.9,20.6
PrivateEye,35,10,20,20,42.1,-6.2,2336.7
Qbert,1288.8,362.5,757.5,2675,235.6,4241.7,8885.2
Riverraid,1957.8,1398,2865,2887,1904.2,5068.6,7018.9
RoadRunner,5640.6,1430,5750,8930,524.1,18415.4,31379.7
Seaquest,683.3,370,692,882,206.3,1558.7,3279.9
UpNDown,3350.3,2874,12126,13777,1346.3,6120.7,8010.9
YarsRevenge,5664.3,5182,8064.8,9495,3649,7005.7,8225.1
